CPV CODE,Omschrijving,Mapped GPP
24210000-9,"Oxiden, peroxiden en hydroxiden","GPP: Paints, varnishes and road markings"
24211000-6,"Zinkoxide en peroxide, titaniumoxide, verfstoffen en pigmenten","GPP: Paints, varnishes and road markings"
24211100-7,Zinkoxide,"GPP: Paints, varnishes and road markings"
24211200-8,Zinkperoxide,"GPP: Paints, varnishes and road markings"
24211300-9,Titaniumoxide,"GPP: Paints, varnishes and road markings"
24212000-3,"Chroom-, mangaan-, magnesium-, lood- en koperoxiden en -hydroxiden","GPP: Paints, varnishes and road markings"
24212100-4,Chroomoxide,"GPP: Paints, varnishes and road markings"
24212200-5,Mangaanoxide,"GPP: Paints, varnishes and road markings"
24212300-6,Loodoxide,"GPP: Paints, varnishes and road markings"
24212400-7,Koperoxide,"GPP: Paints, varnishes and road markings"
24212500-8,Magnesiumoxide,"GPP: Paints, varnishes and road markings"
24212600-9,Hydroxiden voor verf en pigmenten,"GPP: Paints, varnishes and road markings"
24212610-2,Chroomhydroxide,"GPP: Paints, varnishes and road markings"
24212620-5,Mangaanhydroxide,"GPP: Paints, varnishes and road markings"
24212630-8,Loodhydroxide,"GPP: Paints, varnishes and road markings"
24212640-1,Koperhydroxide,"GPP: Paints, varnishes and road markings"
24212650-4,Magnesiumhydroxide,"GPP: Paints, varnishes and road markings"
24213000-0,Zuivere gebluste kalk,"GPP: Paints, varnishes and road markings"
24220000-2,"Looi-, verfextracten, looistoffen en kleurstoffen","GPP: Paints, varnishes and road markings"
24221000-9,Verfextracten,"GPP: Paints, varnishes and road markings"
24222000-6,Looi-extracten,GPP: Not applicable
24223000-3,Looistoffen,GPP: Not applicable
24224000-0,Kleurstoffen,"GPP: Paints, varnishes and road markings"
24225000-7,Looipreparaten,GPP: Not applicable
24300000-7,Anorganische en organische basischemicaliën,"GPP: Paints, varnishes and road markings"
24310000-0,Anorganische chemische basisproducten,"GPP: Paints, varnishes and road markings"
24311000-7,"Chemische elementen, anorganische zuren en verbindingen","GPP: Paints, varnishes and road markings"
24311100-8,Metalloïden,"GPP: Paints, varnishes and road markings"
24311110-1,Fosfiden,"GPP: Paints, varnishes and road markings"
24311120-4,Carbiden,"GPP: Paints, varnishes and road markings"
24311130-7,Hydriden,"GPP: Paints, varnishes and road markings"
24311140-0,Nitriden,"GPP: Paints, varnishes and road markings"
24311150-3,Aziden,"GPP: Paints, varnishes and road markings"
24311160-6,Siliciden,"GPP: Paints, varnishes and road markings"
24311170-9,Boriden,"GPP: Paints, varnishes and road markings"
24311180-2,Geraffineerde zwavel,GPP: Furniture
24311200-9,Halogeen,GPP: Furniture
24311300-0,Alkalimetalen,GPP: Furniture
24311310-3,Kwik,GPP: Furniture
24311400-1,"Waterstofchloride, anorganische zuren, silicium- en zwaveldioxide",GPP: Furniture
24311410-4,Anorganische zuren,GPP: Furniture
24311411-1,Zwavelzuur,GPP: Furniture
24311420-7,Fosforzuur,GPP: Furniture
24311430-0,Polyfosforzuur,GPP: Furniture
24311440-3,Waterstofhexafluorosilicaat,GPP: Furniture
24311450-6,Zwaveldioxide,GPP: Furniture
24311460-9,Siliciumdioxide,GPP: Furniture
24311470-2,Waterstofchloride,GPP: Furniture
24311500-2,Hydroxiden als anorganische basische chemicaliën,GPP: Furniture
24311510-5,Metaaloxiden,GPP: Furniture
24311511-2,IJzerzouten en ijzeroxiden,GPP: Furniture
24311520-8,Natriumhydroxide,GPP: Furniture
24311521-5,Bijtende soda,GPP: Furniture
24311522-2,Vloeibare soda,GPP: Furniture
24311600-3,Zwavelverbindingen,GPP: Furniture
24311700-4,Zwavel,GPP: Furniture
24311800-5,Koolstof,GPP: Furniture
24311900-6,Chloor,GPP: Furniture
24312000-4,"Verbindingen van metalen met halogenen; hypochlorieten, chloraten en perchloraten",GPP: Furniture
24312100-5,Verbindingen van metalen met halogenen,GPP: Furniture
24312110-8,Natriumhexafluorsilicaat,GPP: Furniture
24312120-1,Chloriden,GPP: Furniture
24312121-8,Aluminiumchloride,GPP: Furniture
24312122-5,Ferrichloride,GPP: Furniture
24312123-2,Polyaluminiumchloride,GPP: Furniture
24312130-4,Aluminiumchloorhydraat,GPP: Furniture
24312200-6,Hypochlorieten en chloraten,GPP: Furniture
24312210-9,Natriumchloride,GPP: Not applicable
24312220-2,Natriumhypochloride,GPP: Furniture
24313000-1,"Sulfiden, sulfaten; nitraten, fosfaten en carbonaten",GPP: Furniture
24313100-2,"Sulfiden, sulfieten en sulfaten",GPP: Furniture
24313110-5,Diverse sulfiden,GPP: Furniture
24313111-2,Waterstofsulfide,GPP: Furniture
24313112-9,Polysulfiden,GPP: Furniture
24313120-8,Sulfaten,GPP: Furniture
24313121-5,Natriumthiosulfaat,GPP: Furniture
24313122-2,Ferrisulfaat,GPP: Furniture
24313123-9,Aluminiumsulfaat,GPP: Furniture
24313124-6,Natriumsulfaat,GPP: Furniture
24313125-3,IJzersulfaat,GPP: Furniture
24313126-0,Kopersulfaat,GPP: Furniture
24313200-3,"Fosfinaten, fosfonaten, fosfaten en polyfosfaten",GPP: Furniture
24313210-6,Natriumhexametafosfaat,GPP: Furniture
24313220-9,Fosfaten,GPP: Furniture
24313300-4,Carbonaten,GPP: Furniture
24313310-7,Natriumcarbonaat,GPP: Furniture
24313320-0,Natriumbicarbonaat,GPP: Furniture
24313400-5,Nitraten,GPP: Furniture
24314000-8,Metaalzouten,GPP: Furniture
24314100-9,Kaliumpermanganaat,GPP: Furniture
24314200-0,Oxometaalzuren,GPP: Furniture
24315000-5,Anorganische chemicaliën,GPP: Furniture
24315100-6,Zwaar water en andere isotopen en verbindingen,GPP: Furniture
24315200-7,"Cyanide, cyanideoxide, fulminaten, cyanaten, silicaten; boraten, perboraten, zouten van anorganische zuren",GPP: Furniture
24315210-0,Cyaniden,GPP: Furniture
24315220-3,Cyanideoxide,GPP: Furniture
24315230-6,Fulminaten,GPP: Furniture
24315240-9,Cyanaten,GPP: Furniture
24315300-8,Waterstofperoxide,GPP: Not applicable
24315400-9,Piëzo-elektrisch kwarts,GPP: Not applicable
24315500-0,Verbindingen van zeldzame aardmetalen,GPP: Not applicable
24315600-1,Silicaten,GPP: Furniture
24315610-4,Natriumsilicaat,GPP: Furniture
24315700-2,Boraten en perboraten,GPP: Furniture
24316000-2,Gedistilleerd water,GPP: Not applicable
24317000-9,Synthetische stenen,GPP: Not applicable
24317100-0,Synthetische edelstenen,GPP: Not applicable
24317200-1,Synthetische halfedelstenen,GPP: Not applicable
24320000-3,Organische basischemicaliën,GPP: Furniture
24321000-0,Koolwaterstoffen,GPP: Furniture
24321100-1,Verzadigde koolwaterstoffen,GPP: Furniture
24321110-4,Acyclische verzadigde koolwaterstoffen,GPP: Furniture
24321111-1,Methaan,GPP: Furniture
24321112-8,Ethyleen,GPP: Furniture
24321113-5,Propeen,GPP: Furniture
24321114-2,Buteen,GPP: Furniture
24321115-9,Acetyleen,GPP: Furniture
24321120-7,Cyclische verzadigde koolwaterstoffen,GPP: Furniture
24321200-2,Onverzadigde koolwaterstoffen,GPP: Furniture
24321210-5,Onverzadigde acyclische koolwaterstoffen,GPP: Furniture
24321220-8,Onverzadigde cyclische koolwaterstoffen,GPP: Furniture
24321221-5,Benzeen,GPP: Furniture
24321222-2,Tolueen,GPP: Furniture
24321223-9,O-xylenen,GPP: Furniture
24321224-6,M-xylenen,GPP: Furniture
24321225-3,Styreen,GPP: Furniture
24321226-0,Ethylbenzeen,GPP: Furniture
24321300-3,Andere chloorderivaten van koolwaterstoffen,GPP: Furniture
24321310-6,Tetrachloorethyleen,GPP: Furniture
24321320-9,Koolstoftetrachloride,GPP: Furniture
24322000-7,"Alcoholen, fenolen, fenolalcoholen alsmede halogeen-, gesulfoneerde, nitro- of nitrosoderivaten daarvan; industriële vetalcoholen",GPP: Furniture
24322100-8,Industriële vetalcoholen,GPP: Furniture
24322200-9,Eenwaardige alcoholen,GPP: Furniture
24322210-2,Methanol,GPP: Furniture
24322220-5,Ethanol,GPP: Furniture
24322300-0,"Diolen, polyalcoholen en derivaten",GPP: Furniture
24322310-3,Ethyleenglycol,GPP: Furniture
24322320-6,Alcoholderivaten,GPP: Furniture
24322400-1,Fenolen en fenolderivaten,GPP: Furniture
24322500-2,Alcohol,GPP: Furniture
24322510-5,Ethylalcohol,GPP: Furniture
24323000-4,Industriële monocarbonvetzuren,GPP: Furniture
24323100-5,Raffinagevetzuren,GPP: Furniture
24323200-6,Carbonzuren,GPP: Furniture
24323210-9,Azijnzuur,GPP: Furniture
24323220-2,Per-azijnzuur,GPP: Furniture
24323300-7,Onverzadigde monocarbonzuren en samenstellingen daarvan,GPP: Furniture
24323310-0,Esters van methacrylzuur,GPP: Furniture
24323320-3,Acrylzuuresters,GPP: Furniture
24323400-8,Aromatische polycarbonzuren en carbonzuren,GPP: Furniture
24324000-1,Organische verbindingen met stikstofhoudende groepen,GPP: Furniture
24324100-2,Aminoverbindingen,GPP: Furniture
24324200-3,Aminoverbindingen met zuurstofhoudende groepen,GPP: Furniture
24324300-4,Ureïnen,GPP: Furniture
24324400-5,Verbindingen met stikstofhoudende groepen,GPP: Furniture
24325000-8,Verbindingen van organische zwavel,GPP: Furniture
24326000-5,"Aldehyde, keton, organische peroxiden, en ethers",GPP: Furniture
24326100-6,Verbindingen met aldehydegroepen,GPP: Furniture
24326200-7,Verbindingen met keton- en chinongroepen,"GPP: Paints, varnishes and road markings"
24326300-8,Organische peroxiden,GPP: Not applicable
24326310-1,Ethyleenoxide,GPP: Furniture
24326320-4,Ethers,"GPP: Paints, varnishes and road markings"
24327000-2,Diverse organische chemicaliën,GPP: Furniture
24327100-3,Plantaardige derivaten voor het verven,"GPP: Imaging Equipment, consumables, and print services"
24327200-4,Houtskool,GPP: Public Space Maintenance
24327300-5,"Olie en distillatieproducten van steenkoolteer met een hoge temperatuur, pek en pekteer","GPP: Paints, varnishes and road markings"
24327310-8,Steenkoolteer,"GPP: Paints, varnishes and road markings"
24327311-5,Creosoot,"GPP: Paints, varnishes and road markings"
24327320-1,Pek,"GPP: Paints, varnishes and road markings"
24327330-4,Pekteer,"GPP: Paints, varnishes and road markings"
24327400-6,Harsproducten,GPP: Furniture
24327500-7,Loog als residu van houtpulpvervaardiging,GPP: Public Space Maintenance
24400000-8,Meststoffen en stikstofverbindingen,GPP: Public Space Maintenance
24410000-1,Stikstofhoudende meststoffen,GPP: Public Space Maintenance
24411000-8,Salpeterzuur en -zouten,GPP: Public Space Maintenance
24411100-9,Natriumnitraat,GPP: Public Space Maintenance
24412000-5,Nitreerzuur,GPP: Public Space Maintenance
24413000-2,Ammoniak,GPP: Public Space Maintenance
24413100-3,Vloeibare ammoniak,GPP: Public Space Maintenance
24413200-4,Ammoniumchloride,GPP: Public Space Maintenance
24413300-5,Ammoniumsulfaat,GPP: Public Space Maintenance
24420000-4,Fosfaathoudende meststoffen,GPP: Public Space Maintenance
24421000-1,Minerale fosfaathoudende meststoffen,GPP: Public Space Maintenance
24422000-8,Chemische fosfaathoudende meststoffen,GPP: Public Space Maintenance
24430000-7,Meststoffen van dierlijke of plantaardige oorsprong,GPP: Public Space Maintenance
24440000-0,Diverse meststoffen,GPP: Public Space Maintenance
24450000-3,Chemische producten voor de landbouw,GPP: Furniture
24451000-0,Pesticiden,GPP: Furniture
24452000-7,Insecticiden,GPP: Furniture
24453000-4,Herbiciden,GPP: Furniture
24454000-1,Plantengroeiregulatoren,GPP: Public Space Maintenance
24455000-8,Ontsmettingsmiddelen,GPP: Public Space Maintenance
24456000-5,Verdelgingsmiddelen voor knaagdieren,GPP: Furniture
24457000-2,Fungiciden,GPP: Furniture
24500000-9,Kunststoffen in primaire vorm,GPP: Furniture
24510000-2,Ethyleenpolymeren in primaire vorm,GPP: Furniture
24520000-5,Propyleenpolymeren in primaire vorm,GPP: Not applicable
24530000-8,Styreenpolymeren in primaire vorm,GPP: Not applicable
24540000-1,Vinylpolymeren in primaire vorm,GPP: Not applicable
24541000-8,Vinylacetaatpolymeren in primaire vorm,GPP: Not applicable
24542000-5,Acrylpolymeren in primaire vorm,GPP: Not applicable
24550000-4,Polyesters in primaire vorm,GPP: Not applicable
24560000-7,Polyamiden in primaire vorm,GPP: Not applicable
24570000-0,Ureumharsen in primaire vorm,GPP: Not applicable
24580000-3,Aminoharsen in primaire vorm,GPP: Not applicable
24590000-6,Siliconen in primaire vorm,GPP: Not applicable
24600000-0,Explosieven,GPP: Not applicable
24610000-3,Bereide explosieven,GPP: Not applicable
24611000-0,Drijflading,GPP: Not applicable
24611100-1,Voortstuwingsvloeistoffen,GPP: Not applicable
24612000-7,Diverse explosieven,GPP: Not applicable
24612100-8,Dynamiet,GPP: Not applicable
24612200-9,TNT,GPP: Not applicable
24612300-0,Nitroglycerine,GPP: Not applicable
24613000-4,"Lichtkogels, antihagelraketten, mistsignalen en pyrotechnische artikelen",GPP: Not applicable
24613100-5,Vogelafschrikkogels,GPP: Not applicable
24613200-6,Vuurwerk,GPP: Not applicable
24615000-8,"Lonten, slaghoedjes, ontstekers en elektrische detonatoren",GPP: Not applicable
24900000-3,Fijnchemicaliën en diverse chemische producten,GPP: Public Space Maintenance
24910000-6,Lijm,GPP: Not applicable
24911000-3,Gelatine,GPP: Food Catering services and vending machines
24911200-5,Kleefmiddelen,GPP: Not applicable
24920000-9,Etherische oliën,GPP: Not applicable
24930000-2,Fotochemische producten,GPP: Not applicable
24931000-9,Fotografische platen en film,GPP: Not applicable
24931200-1,Emulsies voor fotografisch gebruik,GPP: Not applicable
24931210-4,Fotografische ontwikkelaars,GPP: Not applicable
24931220-7,Fotografische fixeermiddelen,GPP: Not applicable
24931230-0,Röntgenontwikkelaars,GPP: Not applicable
24931240-3,Röntgenfixeermiddelen,GPP: Not applicable
24931250-6,Kweekmedia,GPP: Not applicable
24931260-9,Beeldversterkers,GPP: Not applicable
24950000-8,Bijzondere chemische preparaten,GPP: Not applicable
24951000-5,Vetten en smeermiddelen,GPP: Road transport
24951100-6,Smeermiddelen,GPP: Road transport
24951110-9,Boorsuspensie,GPP: Road transport
24951120-2,Siliconenvet,GPP: Road transport
24951130-5,Boorspoeling,GPP: Road transport
24951200-7,Additieven voor olie,GPP: Road transport
24951210-0,Poeder voor brandblusapparaten,GPP: Not applicable
24951220-3,Producten voor brandblusapparaten,GPP: Not applicable
24951230-6,Vulling voor brandblusapparaten,GPP: Not applicable
24951300-8,Hydraulische vloeistoffen,GPP: Road transport
24951310-1,IJsbestrijdingsmiddelen,GPP: Public Space Maintenance
24951311-8,Antivriesmiddelen,GPP: Public Space Maintenance
24951400-9,Chemisch gewijzigde vetten en oliën,GPP: Road transport
24952000-2,Modelleerpasta's,GPP: Not applicable
24952100-3,Tandtechnische was,GPP: Not applicable
24953000-9,Afwerkingsmiddelen,GPP: Not applicable
24954000-6,Actieve kool,GPP: Not applicable
24954100-7,Nieuwe actieve kool,GPP: Not applicable
24954200-8,Geregenereerde actieve kool,GPP: Not applicable
24955000-3,Chemische toiletten,GPP: Not applicable
24956000-0,Peptonen en proteïnestoffen,GPP: Not applicable
24957000-7,Chemische additieven,GPP: Not applicable
24957100-8,Bereide bindmiddelen voor gietvormen of voor gietkernen,GPP: Not applicable
24957200-9,"Additieven voor cement, mortel of beton",GPP: Not applicable
24958000-4,Chemische producten voor de olie- en gasindustrie,GPP: Not applicable
24958100-5,Boorgatchemicaliën,GPP: Not applicable
24958200-6,Uitvlokmiddelen,GPP: Not applicable
24958300-7,Spoelingchemicaliën,GPP: Not applicable
24958400-8,Gelampullen voor explosieven,GPP: Not applicable
24959000-1,Aerosolen en chemicaliën in schijfjes,GPP: Not applicable
24959100-2,Aerosolen,GPP: Not applicable
24959200-3,Chemische elementen in schijfjes,GPP: Not applicable
24960000-1,Diverse chemische producten,GPP: Not applicable
24961000-8,Radiatorvloeistoffen,GPP: Road transport
24962000-5,Chemicaliën voor waterbehandeling,GPP: Not applicable
24963000-2,Corrosiewerende middelen,GPP: Road transport
24964000-9,Glycerol,GPP: Not applicable
24965000-6,Enzymen,GPP: Not applicable
30000000-9,"Kantoormachines en gegevensverwerkende apparatuur, kantooruitrusting en -benodigdheden, uitgez. meubilair en softwarepakketten",GPP: Not applicable
30100000-0,"Kantoormachines, -uitrusting en -benodigdheden, uitgez. computers, printers en meubilair",GPP: Not applicable
30110000-3,Tekstverwerkingsmachines,GPP: Not applicable
30111000-0,Tekstverwerkers,GPP: Not applicable
30120000-6,Fotokopieer- en offsetdrukmachines,GPP: Not applicable
30121000-3,Fotokopieer- en thermokopieerapparaten,GPP: Not applicable
30121100-4,Fotokopieerapparaten,"GPP: Imaging Equipment, consumables, and print services"
30121200-5,Fotokopieerapparatuur,"GPP: Imaging Equipment, consumables, and print services"
30121300-6,Reproductiemachines,"GPP: Imaging Equipment, consumables, and print services"
30121400-7,Duplicators,GPP: Not applicable
30121410-0,Faxschakelapparaten,GPP: Not applicable
30121420-3,Digitale zenders,GPP: Not applicable
30121430-6,Digitale stencilapparaten,GPP: Not applicable
30122000-0,Offsetdrukmachines voor kantoorgebruik,"GPP: Imaging Equipment, consumables, and print services"
30122100-1,Digitale offsetsystemen,"GPP: Imaging Equipment, consumables, and print services"
30122200-2,Digitale offsetapparatuur,"GPP: Imaging Equipment, consumables, and print services"
30123000-7,Kantoor- en bedrijfsmachines,GPP: Not applicable
30123100-8,Kaartjesafstempelmachines,GPP: Not applicable
30123200-9,Geldautomaten,GPP: Not applicable
30123300-0,Stencilmachines,GPP: Not applicable
30123400-1,Vouwmachines,GPP: Not applicable
30123500-2,Perforatiemachines,GPP: Not applicable
30123600-3,Muntmachines,GPP: Not applicable
30123610-6,Muntsorteermachines,GPP: Not applicable
30123620-9,Munttelmachines,GPP: Not applicable
30123630-2,Muntverpakkingsmachines,GPP: Not applicable
30124000-4,Delen en toebehoren van kantoormachines,GPP: Not applicable
30124100-5,Fusers,"GPP: Imaging Equipment, consumables, and print services"
30124110-8,Fuser oil,"GPP: Imaging Equipment, consumables, and print services"
30124120-1,Fuser wiper,"GPP: Imaging Equipment, consumables, and print services"
30124130-4,Lampen voor fixeereenheid,"GPP: Imaging Equipment, consumables, and print services"
30124140-7,Reinigingspads voor fixeereenheid,"GPP: Imaging Equipment, consumables, and print services"
30124150-0,Filters voor fixeereenheid,"GPP: Imaging Equipment, consumables, and print services"
30124200-6,Fixeereenheidskits,"GPP: Imaging Equipment, consumables, and print services"
30124300-7,Trommels voor kantoormachines,"GPP: Imaging Equipment, consumables, and print services"
30124400-8,Nietpatronen,GPP: Not applicable
30124500-9,Toebehoren voor scanners,"GPP: Computers, monitors, tablets and smartphones"
30124510-2,Endosseerapparaten,GPP: Not applicable
30124520-5,Documenteninvoerders voor scanners,"GPP: Computers, monitors, tablets and smartphones"
30124530-8,Transparantieadapters voor scanners,"GPP: Computers, monitors, tablets and smartphones"
30125000-1,Delen en toebehoren van fotokopieerapparaten,"GPP: Imaging Equipment, consumables, and print services"
30125100-2,Tonerpatronen,"GPP: Imaging Equipment, consumables, and print services"
30125110-5,Toner voor laserprinters/faxapparaten,"GPP: Imaging Equipment, consumables, and print services"
30125120-8,Toner voor fotokopieerapparaten,"GPP: Imaging Equipment, consumables, and print services"
30125130-1,Toner voor gegevensverwerking en onderzoek- en documentatiecentra,"GPP: Imaging Equipment, consumables, and print services"
30130000-9,Uitrusting voor postkantoor,GPP: Not applicable
30131000-6,Uitrusting voor postkamer,GPP: Not applicable
30131100-7,Papier- of envelopvouwmachines,GPP: Not applicable
30131200-8,Enveloppeermachines,GPP: Not applicable
30131300-9,Adresseermachines,GPP: Not applicable
30131400-0,Postmachines,GPP: Not applicable
30131500-1,Postopeners,GPP: Not applicable
30131600-2,Enveloppensluiters,GPP: Not applicable
30131700-3,Poststempelmachines,GPP: Not applicable
30131800-4,Zegelmachines,GPP: Not applicable
30132000-3,Sorteeruitrusting,GPP: Not applicable
30132100-4,Postsorteeruitrusting,GPP: Not applicable
30132200-5,Biljettentellers,GPP: Not applicable
30132300-6,Sorteerinrichtingen,GPP: Not applicable
30133000-0,Verzenduitrusting,GPP: Not applicable
30133100-1,Uitrusting voor verzending in bulk,GPP: Not applicable
30140000-2,Rekenmachines en boekhoudmachines,GPP: Not applicable
30141000-9,Rekenmachines,GPP: Not applicable
30141100-0,Zakrekenmachines,GPP: Not applicable
30141200-1,Bureaurekenmachines,GPP: Not applicable
30141300-2,Rekenmachines met ingebouwde printer,GPP: Not applicable
30141400-3,Telmachines,GPP: Not applicable
30142000-6,Boekhoudmachines en kasregisters,GPP: Not applicable
30142100-7,Boekhoudmachines,GPP: Not applicable
30142200-8,Kasregisters,GPP: Not applicable
30144000-0,Machines met ingebouwd rekenmechanisme,GPP: Not applicable
30144100-1,Frankeermachines,GPP: Not applicable
30144200-2,Kaartjesautomaten,GPP: Not applicable
30144300-3,Teltoestellen voor voertuigen,GPP: Not applicable
30144400-4,Automatische kaartjesverkoop,GPP: Not applicable
30145000-7,Delen en toebehoren van rekenmachines,GPP: Not applicable
30145100-8,Rekenmachinerollen,GPP: Not applicable
30150000-5,Schrijfmachines,GPP: Not applicable
30151000-2,Elektronische schrijfmachines,GPP: Not applicable
30152000-9,Delen en toebehoren van schrijfmachines,GPP: Not applicable
30160000-8,Magneetkaarten,GPP: Not applicable
30161000-5,Kredietkaarten,GPP: Not applicable
30162000-2,Smartcards,GPP: Not applicable
30163000-9,Charge cards,GPP: Not applicable
30163100-0,Tankkaarten,GPP: Not applicable
30170000-1,Labelmachines,GPP: Not applicable
30171000-8,Dateer- of nummermachines,GPP: Not applicable
30172000-5,Machines voor het vervaardigen van ID-kaarten,GPP: Not applicable
30173000-2,Etiketteermachines,GPP: Not applicable
30174000-9,Etikettenprinters,"GPP: Imaging Equipment, consumables, and print services"
30175000-6,Beletteringsapparatuur,GPP: Not applicable
30176000-3,Lettertang,GPP: Not applicable
30177000-0,Automatische labelsystemen,GPP: Not applicable
30178000-7,Halfautomatische labelsystemen,GPP: Not applicable
30179000-4,Labeldispensers,GPP: Not applicable
30180000-4,Machines voor het schrijven en endosseren van cheques,GPP: Not applicable
30181000-1,Machines voor het endosseren van cheques,GPP: Not applicable
30182000-8,Machines voor het schrijven van cheques,GPP: Not applicable
30190000-7,"Diverse machines, uitrusting en benodigdheden voor kantoor",GPP: Not applicable
30191000-4,"Kantooruitrusting, uitgez. meubilair",GPP: Not applicable
30191100-5,Archiefuitrusting,GPP: Not applicable
30191110-8,Kaartcarrouselsystemen,GPP: Not applicable
30191120-1,Tijdschriftenstandaards,GPP: Not applicable
30191130-4,Klemborden,GPP: Not applicable
30191140-7,Toebehoren voor persoonsidentificatie,GPP: Not applicable
30191200-6,Overheadprojectoren,GPP: Not applicable
30191400-8,Papierversnipperaars,GPP: Not applicable
30192000-1,Kantoorbenodigdheden,GPP: Not applicable
30192100-2,Vlakgommen,GPP: Not applicable
30192110-5,Inktproducten,GPP: Not applicable
30192111-2,Stempelkussens,GPP: Not applicable
30192112-9,Inktcassettes voor drukmachines,"GPP: Imaging Equipment, consumables, and print services"
30192113-6,Inktcassettes,"GPP: Imaging Equipment, consumables, and print services"
30192121-5,Balpennen,GPP: Not applicable
30192122-2,Vulpennen,GPP: Not applicable
30192123-9,Viltschrijvers,GPP: Not applicable
30192124-6,Viltstiften,GPP: Not applicable
30192125-3,Markeerstiften,GPP: Not applicable
30192126-0,Technische pennen,GPP: Not applicable
30192127-7,Penhouders,GPP: Not applicable
30192130-1,Potloden,GPP: Not applicable
30192131-8,Vulpotloden,GPP: Not applicable
30192132-5,Stiften voor vulpotlood,GPP: Not applicable
30192133-2,Puntenslijpers,GPP: Not applicable
30192134-9,Potloodhouders,GPP: Not applicable
30192150-7,Datumstempels,GPP: Not applicable
30192151-4,Zegelstempels,GPP: Not applicable
30192152-1,Numeroteurs,GPP: Not applicable
30192153-8,Tekststempels,GPP: Not applicable
30192154-5,Vullingen voor stempelkussens,GPP: Not applicable
30192155-2,Stempelhangers voor kantoor,GPP: Not applicable
30192160-0,Correctiemateriaal,GPP: Not applicable
30192170-3,Prikborden,GPP: Not applicable
30192200-3,Meetlinten,GPP: Not applicable
30192300-4,Inktlinten,"GPP: Imaging Equipment, consumables, and print services"
30192310-7,Schrijfmachinelinten,GPP: Not applicable
30192320-0,Printerlinten,"GPP: Imaging Equipment, consumables, and print services"
30192330-3,Linten en trommels voor rekenmachines,GPP: Not applicable
30192340-6,Faxlinten,GPP: Not applicable
30192350-9,Linten voor kasregister,GPP: Not applicable
30192400-5,Reprografiebenodigdheden,"GPP: Imaging Equipment, consumables, and print services"
30192500-6,Transparanten voor overheadprojector,GPP: Not applicable
30192600-7,Tekenborden,GPP: Not applicable
30192700-8,Kleine kantoorbenodigdheden,GPP: Not applicable
30192800-9,Zelfklevende labels,GPP: Not applicable
30192900-0,Correctiemiddelen,GPP: Not applicable
30192910-3,Correctiefilm of -band,GPP: Not applicable
30192920-6,Correctievloeistof,GPP: Not applicable
30192930-9,Correctiepennen,GPP: Not applicable
30192940-2,Vullingen voor correctiepennen,GPP: Not applicable
30192950-5,Elektrische radeermachines,GPP: Not applicable
30193000-8,Organisers en toebehoren,GPP: Not applicable
30193100-9,Bureauladeorganisers,GPP: Not applicable
30193200-0,Bureauorganisers,GPP: Not applicable
30193300-1,Wandsorteerrekjes,GPP: Not applicable
30193400-2,Boekensteunen,GPP: Not applicable
30193500-3,Documentatierekken,GPP: Not applicable
30193600-4,Agenda- of kalenderhouders,GPP: Not applicable
30193700-5,Opbergdozen voor dossiers,GPP: Not applicable
30193800-6,Berichtenhouders,GPP: Not applicable
30193900-7,Concepthouders,GPP: Not applicable
30194000-5,Tekenbenodigdheden,GPP: Not applicable
30194100-6,Tekenmallen,GPP: Not applicable
30194200-7,"Dubbelzijdig klevende rondjes, tekenplakband en -film",GPP: Not applicable
30194210-0,Dubbelzijdig klevende rondjes of tekenplakband,GPP: Not applicable
30194220-3,Tekenfilm,GPP: Not applicable
30194300-8,"Tekendozen, -sets en -papier",GPP: Not applicable
30194310-1,Tekendozen of -sets,GPP: Not applicable
30194320-4,Ontwerppapier,GPP: Not applicable
30194400-9,Afdekking voor tekentafel,GPP: Not applicable
30194500-0,Beletteringshulpmiddelen,GPP: Not applicable
30194600-1,Gradenbogen,GPP: Not applicable
30194700-2,Sjablonen,GPP: Not applicable
30194800-3,Tekenhaken en driehoeken,GPP: Not applicable
30194810-6,Tekenhaken,GPP: Not applicable
30194820-9,Driehoeken,GPP: Not applicable
30194900-4,Afdekhoezen voor werkblad,GPP: Not applicable
30195000-2,Borden,GPP: Furniture
30195100-3,Planborden of toebehoren,GPP: Furniture
30195200-4,Elektronische copyboards of toebehoren,GPP: Furniture
30195300-5,Letterborden of toebehoren,GPP: Furniture
30195400-6,Droog uitwisbare borden of toebehoren,GPP: Furniture
30195500-7,Schoolborden of toebehoren,GPP: Furniture
30195600-8,Mededelingenborden of toebehoren,GPP: Furniture
30195700-9,Bordreinigingskits of toebehoren,GPP: Furniture
30195800-0,Ophangrails of houders,GPP: Furniture
30195900-1,Witte schrijfborden en magneetborden,GPP: Furniture
30195910-4,Witte schrijfborden,GPP: Furniture
30195911-1,Toebehoren voor witte schrijfborden,GPP: Furniture
30195912-8,Standaards voor witte schrijfborden,GPP: Furniture
30195913-5,Standaards voor flipovers,GPP: Furniture
30195920-7,Magneetborden,GPP: Furniture
30195921-4,Wissers voor magneetborden,GPP: Furniture
30196000-9,Planningsystemen,GPP: Furniture
30196100-0,Vergaderingsplanners,GPP: Furniture
30196200-1,Afsprakenboeken of navullingen,GPP: Not applicable
30196300-2,Ideeënbus,GPP: Furniture
30197000-6,Kleine kantooruitrusting,GPP: Not applicable
30197100-7,"Nieten, nagels, punaises",GPP: Not applicable
30197110-0,Nieten,GPP: Not applicable
