CPV Code,Omschrijving,GPP Module(s),Qualifier
18412000-0,Sportkleding,Textielproducten en -diensten,Let op: alleen van toepassing indien de sportkleding (≥80% textielvezel) als kledingstuk wordt ingekocht.
18412100-1,Trainingspakken,Textielproducten en -diensten,Let op: alleen van toepassing indien het trainingspak (≥80% textielvezel) als kledingstuk wordt ingekocht.
18412200-2,Sporthemden,Textielproducten en -diensten,Let op: alleen van toepassing indien het sporthemd (≥80% textielvezel) als kledingstuk wordt ingekocht.
18412300-3,Skipakken,Textielproducten en -diensten,Let op: alleen van toepassing indien de skipak (≥80% textielvezel) als kledingstuk wordt ingekocht.
18412800-8,Zwemkleding,Textielproducten en -diensten,Let op: alleen van toepassing indien de zwemkleding (≥80% textielvezel) als kledingstuk wordt ingekocht.
18420000-9,Kledingaccessoires,Textielproducten en -diensten,Let op: alleen van toepassing indien het accessoire (deels) uit textiel bestaat.
18421000-6,Zakdoeken,Textielproducten en -diensten,Let op: alleen van toepassing indien de zakdoek uit textiel bestaat (≥80% textielvezel).
18422000-3,Sjaals,Textielproducten en -diensten,Let op: alleen van toepassing indien de sjaal uit textiel bestaat (≥80% textielvezel).
18423000-0,Stropdassen,Textielproducten en -diensten,Let op: alleen van toepassing indien de stropdas uit textiel bestaat (≥80% textielvezel).
18424000-7,Handschoenen,Textielproducten en -diensten,Let op: alleen van toepassing indien de handschoen (deels) uit textiel bestaat.
18424300-0,Wegwerphandschoenen,Textielproducten en -diensten,Let op: alleen van toepassing indien de wegwerphandschoen (deels) uit textiel bestaat.
18424400-1,Wanten,Textielproducten en -diensten,Let op: alleen van toepassing indien de want uit textiel bestaat (≥80% textielvezel).
18424500-2,Kaphandschoenen,Textielproducten en -diensten,Let op: alleen van toepassing indien de kaphandschoen (deels) uit textiel bestaat.
18425000-4,Ceintuurs,Textielproducten en -diensten,Let op: alleen van toepassing indien de ceintuur (deels) uit textiel bestaat.
18425100-5,Schouderriemen,Textielproducten en -diensten,Let op: alleen van toepassing indien de schouderriem (deels) uit textiel bestaat.
18440000-5,Hoeden en hoofddeksels,Textielproducten en -diensten,Let op: alleen van toepassing indien het hoofddeksel (deels) uit textiel bestaat.
18441000-2,Hoeden,Textielproducten en -diensten,Let op: alleen van toepassing indien de hoed (deels) uit textiel bestaat.
18443000-6,Hoofddeksels en accessoires voor hoofddeksels,Textielproducten en -diensten,Let op: alleen van toepassing indien het hoofddeksel of accessoire (deels) uit textiel bestaat.
18443100-7,Hoofdbanden,Textielproducten en -diensten,Let op: alleen van toepassing indien de hoofdband uit textiel bestaat (≥80% textielvezel).
18443300-9,Hoofddeksels,Textielproducten en -diensten,Let op: alleen van toepassing indien het hoofddeksel (deels) uit textiel bestaat.
18443310-2,Baretten,Textielproducten en -diensten,Let op: alleen van toepassing indien de baret uit textiel bestaat (≥80% textielvezel).
18443320-5,Veldpetten,Textielproducten en -diensten,Let op: alleen van toepassing indien de veldpet (deels) uit textiel bestaat.
18443330-8,Mutsen,Textielproducten en -diensten,Let op: alleen van toepassing indien de muts uit textiel bestaat (≥80% textielvezel).
18443340-1,Petten,Textielproducten en -diensten,Let op: alleen van toepassing indien de pet (deels) uit textiel bestaat.
18443400-0,Kinbanden voor hoofddeksels,Textielproducten en -diensten,Let op: alleen van toepassing indien de kinband (deels) uit textiel bestaat.
18443500-1,Zonnekleppen,Textielproducten en -diensten,Let op: alleen van toepassing indien de zonneklep (deels) uit textiel bestaat of een textielcomponent bevat.
18450000-8,Sluitingen (kleding),Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als tussenproduct of accessoire voor toepassing in textielproducten.
18451000-5,Knopen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als tussenproduct of accessoire voor toepassing in textielproducten.
18451100-6,Delen van knopen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als tussenproduct of accessoire voor toepassing in textielproducten.
18452000-2,Veiligheidsspelden,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als tussenproduct of accessoire voor toepassing in textielproducten.
18453000-9,Ritssluitingen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als tussenproduct of accessoire voor toepassing in textielproducten.
18600000-5,Bont en bontartikelen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als bontproduct of textielcomponent voor toepassing in kleding of accessoires.
18610000-8,Bontartikelen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als bontproduct voor toepassing in textielproducten.
18611000-5,Pelshuiden,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor toepassing in textielproducten.
18612000-2,Kleding van bont,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als kledingstuk bestaande uit bont of met textielcomponenten.
18613000-9,Producten van namaakbont,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct of tussenproduct voor toepassing in textielproducten.
18620000-1,Bont,Textielproducten en -diensten,Let op: alleen van toepassing indien bont wordt ingekocht als textielcomponent voor toepassing in kleding of accessoires.
18814000-8,Schoeisel met textielen bovenwerk,Textielproducten en -diensten,Let op: alleen van toepassing indien het bovendeel uit textiel bestaat (≥80% textielvezel) of een substantieel textielcomponent bevat.
18816000-2,Overschoenen,Textielproducten en -diensten,Let op: alleen van toepassing indien de overschoen (deels) uit textiel bestaat of een textielcomponent bevat.
18841000-6,Bovendelen van schoeisel,Textielproducten en -diensten,Let op: alleen van toepassing indien het bovendeel (deels) uit textiel bestaat of een textielcomponent bevat.
18900000-8,"Bagage, zadeltuig, zakken en tassen",Textielproducten en -diensten,Let op: alleen van toepassing indien het product (deels) uit textiel bestaat.
18920000-4,Bagage,Textielproducten en -diensten,Let op: alleen van toepassing indien het bagage-item hoofdzakelijk uit textiel bestaat (≥80% textielvezel) of een significante textielcomponent bevat.
18921000-1,Reiskoffers,Textielproducten en -diensten,Let op: alleen van toepassing indien de reiskoffer (deels) uit textiel bestaat of een textielbuitenzijde heeft.
18923000-5,Aktentassen en portefeuilles,Textielproducten en -diensten,Let op: alleen van toepassing indien het product (deels) uit textiel bestaat.
18923100-6,Aktentassen,Textielproducten en -diensten,Let op: alleen van toepassing indien de aktentas (deels) uit textiel bestaat.
18923200-7,Portefeuilles,Textielproducten en -diensten,Let op: alleen van toepassing indien de portefeuille (deels) uit textiel bestaat.
18924000-2,Hutkoffers,Textielproducten en -diensten,Let op: alleen van toepassing indien de hutkoffer (deels) uit textiel bestaat of een textielbekleding heeft.
18925000-9,Veldfleshouders en holsters,Textielproducten en -diensten,Let op: alleen van toepassing indien het product (deels) uit textiel bestaat.
18925100-0,Veldfleshouders,Textielproducten en -diensten,Let op: alleen van toepassing indien de veldfleshouder (deels) uit textiel bestaat.
18925200-1,Holsters,Textielproducten en -diensten,Let op: alleen van toepassing indien het holster (deels) uit textiel bestaat.
18929000-7,Toilettassen,Textielproducten en -diensten,Let op: alleen van toepassing indien de toilettas (deels) uit textiel bestaat.
18930000-7,Zakken en tassen,Textielproducten en -diensten,Let op: alleen van toepassing indien het product (deels) uit textiel bestaat.
18931000-4,Reistassen,Textielproducten en -diensten,Let op: alleen van toepassing indien de reistas (deels) uit textiel bestaat.
18931100-5,Rugzakken,Textielproducten en -diensten,Let op: alleen van toepassing indien de rugzak (deels) uit textiel bestaat.
18932000-1,Sporttassen,Textielproducten en -diensten,Let op: alleen van toepassing indien de sporttas (deels) uit textiel bestaat.
18933000-8,Post- of pakketzakken,Textielproducten en -diensten,Let op: alleen van toepassing indien de zak (deels) uit textiel bestaat.
18933100-9,Postzakken,Textielproducten en -diensten,Let op: alleen van toepassing indien de postzak (deels) uit textiel bestaat.
18934000-5,Plunjezakken,Textielproducten en -diensten,Let op: alleen van toepassing indien de plunjezak (deels) uit textiel bestaat.
18935000-2,Waszakken,Textielproducten en -diensten,Let op: alleen van toepassing indien de waszak (deels) uit textiel bestaat.
18936000-9,Zakken van textiel,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct voor toepassing in textielproducten.
18937000-6,Zakken voor het verpakken van goederen,Textielproducten en -diensten,Let op: alleen van toepassing indien de verpakkingstas (deels) uit textiel bestaat.
18937100-7,Tassen voor het verpakken van goederen,Textielproducten en -diensten,Let op: alleen van toepassing indien de verpakkingstas (deels) uit textiel bestaat.
18938000-3,Gewatteerde enveloppen,Textielproducten en -diensten,Let op: alleen van toepassing indien de gewatteerde envelop een textielcomponent bevat of uit textiel is opgebouwd.
18939000-0,Handtassen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct (≥80% textielvezel) of met textielcomponenten.
19160000-5,Horlogebandjes,Textielproducten en -diensten,Let op: alleen van toepassing indien horlogebandje (deels) bestaat uit textiel of textielcomponenten.
19200000-8,Textielweefsels en aanverwante artikelen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als weefsel of tussenproduct voor toepassing in textielproducten.
19210000-1,Geweven stoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als weefsel of tussenproduct voor toepassing in textielproducten.
19211000-8,Synthetische weefsels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als weefsel of tussenproduct voor toepassing in textielproducten.
19211100-9,Gemengde weefsels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als weefsel of tussenproduct voor toepassing in textielproducten.
19212000-5,Katoenen weefsels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als weefsel of tussenproduct voor toepassing in textielproducten.
19212100-6,Tijk,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct of tussenproduct voor toepassing in textielproducten.
19212200-7,Denim,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct of tussenproduct voor toepassing in textielproducten.
19212300-8,Canvas,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct of tussenproduct voor toepassing in textielproducten.
19212310-1,Canvasartikelen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als eindproduct of tussenproduct voor toepassing in textielproducten.
19212400-9,Popeline,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct of tussenproduct voor toepassing in textielproducten.
19212500-0,Singel,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielband of tussenproduct voor toepassing in textielproducten.
19212510-3,Singelbanden,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielband of tussenproduct voor toepassing in textielproducten.
19220000-4,Wollen stoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als stof of tussenproduct voor toepassing in textielproducten.
19230000-7,Linnen stoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als stof of tussenproduct voor toepassing in textielproducten.
19231000-4,Linnengoed,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct voor toepassing in textielproducten.
19240000-0,Speciale weefsels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als gespecialiseerd weefsel of tussenproduct voor toepassing in textielproducten.
19241000-7,Pool,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als poolweefsel of tussenproduct voor toepassing in textielproducten.
19242000-4,Badstof,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als badstof of tussenproduct voor toepassing in textielproducten.
19243000-1,Bekledingsstoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als bekledingsstof of tussenproduct voor toepassing in textielproducten.
19244000-8,Gordijnstoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als gordijnstof of tussenproduct voor toepassing in textielproducten.
19245000-5,Voeringstoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als voeringstof of tussenproduct voor toepassing in textielproducten.
19250000-3,Gebreide of gehaakte stoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als gebreide/gehaakte stof of tussenproduct voor toepassing in textielproducten.
19251000-0,Gebreide stoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als gebreide stof of tussenproduct voor toepassing in textielproducten.
19251100-1,Poolweefsels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als poolweefsel of tussenproduct voor toepassing in textielproducten.
19252000-7,Gehaakte stoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als gehaakte stof of tussenproduct voor toepassing in textielproducten.
19260000-6,Doek,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielproduct of tussenproduct voor toepassing in textielproducten.
19270000-9,Vliesstoffen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als tussenproduct voor toepassing in textielproducten.
19280000-2,"Wol, huiden en vellen van dieren",Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor toepassing in textielproducten.
19281000-9,Wol,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als vezelgrondstof voor toepassing in textielproducten.
19282000-6,Dierlijke vellen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor toepassing in textielproducten.
19283000-3,"Huiden van vogels, en veren",Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als grondstof voor toepassing in textielproducten.
19400000-0,Textielgaren en -draad,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen of draad voor toepassing in textielproducten.
19410000-3,Natuurlijke textielvezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als vezel voor toepassing in textielproducten.
19420000-6,Synthetische textielvezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als synthetische vezel voor toepassing in textielproducten.
19430000-9,Textielgaren en draad van natuurlijke vezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen of draad voor toepassing in textielproducten.
19431000-6,Zijdegaren,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
19432000-3,Wolgaren,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
19433000-0,Katoengaren,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
19434000-7,Vlasgaren,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
19435000-4,Naaidraad en -garen van natuurlijke vezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als naaigaren voor toepassing in textielproducten.
19435100-5,Naaigaren,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als naaigaren voor toepassing in textielproducten.
19435200-6,Breigaren,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als breigaren voor toepassing in textielproducten.
19436000-1,Garen van plantaardige textielvezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
19440000-2,Synthetisch garen of draad,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen of draad voor toepassing in textielproducten.
19441000-9,Synthetisch garen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
19442000-6,Synthetische draad,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als draad voor toepassing in textielproducten.
19442100-7,Synthetisch naaigaren,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als naaigaren voor toepassing in textielproducten.
19442200-8,Synthetisch breigaren,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als breigaren voor toepassing in textielproducten.
19513000-5,Met rubber beklede textielweefsels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als tussenproduct voor toepassing in textielproducten.
19513200-7,Plakband van met rubber bekleed textiel,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielcomponent of tussenproduct voor toepassing in textielproducten.
19600000-2,"Afval van leer, textiel, rubber en kunststof",Textielproducten en -diensten,Let op: alleen van toepassing indien het afval wordt ingekocht als textielgrondstof voor recycling binnen textielketens.
19620000-8,Textielafval,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielgrondstof voor recycling of verwerking in textielproducten.
19700000-3,Synthetische rubber en vezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als vezel- of garenmateriaal voor toepassing in textielproducten.
19720000-9,Synthetische vezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als textielvezel of tussenproduct voor textielproducten.
19721000-6,Synthetisch filamentwerk,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als filament voor verwerking in textielproducten.
19722000-3,Garens met een hoge trekvastheid,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
19723000-0,Eendraads getextureerd garen,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
19724000-7,Synthetische monofilamenten,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als filament of tussenproduct voor textielproducten.
19730000-2,Stapelvezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als vezelmateriaal voor toepassing in textielproducten.
19731000-9,Kunstmatige stapelvezels,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als vezel- of tussenproduct voor textielproducten.
19732000-6,Polypropyleen,Textielproducten en -diensten,"Let op: alleen van toepassing indien ingekocht als grondstof voor filamenten, vezels of garens in textielproducten."
19733000-3,Getextureerde kunstmatige garens,Textielproducten en -diensten,Let op: alleen van toepassing indien ingekocht als garen voor toepassing in textielproducten.
22000000-0,Drukwerk en aanverwante producten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22100000-1,"Boeken, brochures en folders","Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22110000-4,Gedrukte boeken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22111000-1,Schoolboeken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22112000-8,Handboeken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22113000-5,Bibliotheekboeken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22114000-2,"Woordenboeken, kaarten, partituren en andere boeken","Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22114100-3,Woordenboeken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22114200-4,Atlassen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22114300-5,Kaarten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22114310-8,Kadasterkaarten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22114311-5,Blauwdrukken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22114400-6,Bladmuziek,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22114500-7,Encyclopedieën,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22120000-7,Publicaties,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22121000-4,Technische publicaties,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22130000-0,Telefoonboeken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22140000-3,Folders,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22150000-6,Brochures,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22160000-9,Boekjes,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22200000-2,"Kranten, vaktijdschriften, periodieken en geïllustreerde tijdschriften","Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22210000-5,Kranten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22211000-2,Vaktijdschriften,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22211100-3,Staatsbladen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22212000-9,Periodieken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22212100-0,Seriepublicaties,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22213000-6,Tijdschriften,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22300000-3,"Briefkaarten, wenskaarten en ander drukwerk","Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22310000-6,Briefkaarten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22312000-0,Afbeeldingen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22313000-7,Transfers,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22314000-4,Ontwerpen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22315000-1,Foto's,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22320000-9,Wenskaarten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22321000-6,Kerstkaarten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22400000-4,"Zegels, chequeformulieren, bankbiljetten, aandelen, reclamedrukwerk, catalogi en handboeken","Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22410000-7,Zegels,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22411000-4,Kerstzegels,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22412000-1,Postfrisse postzegels,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22413000-8,Spaarzegels,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22420000-0,Gezegeld papier,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22430000-3,Bankbiljetten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22440000-6,Chequeformulieren,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22450000-9,Onvervalsbaar drukwerk,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22451000-6,Paspoorten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien de productie als gedrukte output of printdienst wordt aanbesteed.
22452000-3,Postwissels,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22453000-0,Autobelastingplaatjes,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22454000-7,Rijbewijzen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien de productie als gedrukte output of printdienst wordt aanbesteed.
22455000-4,Identiteitskaarten,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien de productie als gedrukte output of printdienst wordt aanbesteed.
22455100-5,Identiteitsarmbanden,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22456000-1,Vergunningen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22457000-8,Toegangskaartjes,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22458000-5,Maatdrukwerk,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als printdienst of als drukwerk geproduceerd met grafische apparatuur.
22459000-2,Tickets,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22459100-3,Reclamestickers en -stroken,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22460000-2,"Materiaal voor reclamedrukwerk, handelscatalogi en handleidingen","Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22461000-9,Catalogi,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22462000-6,Reclamemateriaal,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22470000-5,Handleidingen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22471000-2,Computerhandleidingen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22472000-9,Instructiehandleidingen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
22473000-6,Technische handleidingen,"Grafische apparatuur, verbruiksartikelen en printdiensten",Let op: alleen van toepassing indien ingekocht als gedrukte output of onderdeel van een printdienst.
